segment_id,file,start_time,end_time,start_row,end_row,anomaly_rows,cycle_ids,page_nos,set_powers,mean_real_power,mean_predicted_power,mean_page_median_power,max_anomaly_score,max_risk_ratio,inspection_reason,contains_zero_power,true_anomaly_rows,same_page_repeat,priority
WeldingTest_04_NG_004,WeldingTest_04_NG,2022-08-03 16:35:45.705,2022-08-03 17:47:02.353,78,350,273,"3,4,5,6,7,8,9","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","35,38,82,83",676.9,1292.3,1313.3,198.987,54.422,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검",True,273,0,긴급
WeldingTest_03_NG_001,WeldingTest_03_NG,2022-08-03 09:11:07.698,2022-08-03 09:11:07.698,13,13,1,1,14,35,630.0,677.6,688.0,13.764,3.764,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_002,WeldingTest_03_NG,2022-08-03 09:14:06.191,2022-08-03 09:14:06.191,52,52,1,2,14,35,632.0,677.9,688.0,13.251,3.624,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_003,WeldingTest_03_NG,2022-08-03 09:20:55.772,2022-08-03 09:20:55.772,91,91,1,3,14,35,630.0,677.7,688.0,13.787,3.771,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_004,WeldingTest_03_NG,2022-08-03 09:32:56.460,2022-08-03 09:32:56.460,130,130,1,4,14,35,630.0,675.4,688.0,13.102,3.583,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_005,WeldingTest_03_NG,2022-08-03 09:35:55.350,2022-08-03 09:35:55.350,169,169,1,5,14,35,632.0,674.7,688.0,12.318,3.369,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_006,WeldingTest_03_NG,2022-08-03 09:39:24.180,2022-08-03 09:39:24.180,208,208,1,6,14,35,632.0,677.9,688.0,13.241,3.621,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_007,WeldingTest_03_NG,2022-08-03 09:42:29.667,2022-08-03 09:42:29.667,247,247,1,7,14,35,632.0,677.9,688.0,13.269,3.629,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_008,WeldingTest_03_NG,2022-08-03 09:45:27.541,2022-08-03 09:45:27.541,286,286,1,8,14,35,632.0,674.7,688.0,12.318,3.369,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_010,WeldingTest_03_NG,2022-08-03 09:57:20.661,2022-08-03 09:57:20.661,325,325,1,9,14,35,630.0,677.9,688.0,13.834,3.783,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_011,WeldingTest_03_NG,2022-08-03 10:11:30.155,2022-08-03 10:11:30.155,442,442,1,12,14,35,632.0,677.8,688.0,13.228,3.618,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_012,WeldingTest_03_NG,2022-08-03 10:25:01.059,2022-08-03 10:25:01.059,481,481,1,13,14,35,630.0,678.0,688.0,13.867,3.792,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_013,WeldingTest_03_NG,2022-08-03 10:53:11.253,2022-08-03 10:53:11.253,520,520,1,14,14,35,630.0,677.8,688.0,13.808,3.776,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
WeldingTest_03_NG_014,WeldingTest_03_NG,2022-08-03 10:57:33.035,2022-08-03 10:57:33.035,559,559,1,15,14,35,630.0,677.9,688.0,13.834,3.783,"출력 저하 - 광학계/렌즈 오염, 레이저 소스 점검 + 출력 설정값(레시피) 확인",False,1,19,높음(동일 포인트 반복)
